District(D)/Taluk(T)/Hobli(H),Name,Normal (mm),Actual (mm),Departure (%)
H,Yelburga,596.8,641.6,8
H,Hire Wankalkunti,594.9,658.2,11
T,Karatagi,639.8,540.1,-16
H,Karatgi,639.8,535.8,-16
H,Siddapur,592.7,544.7,-8
T,Kukanuru,693.2,537.9,-22
H,Kukanoor,693.2,500.6,-28
H,Manglur,630.4,623.5,-1
T,Kanakagiri,525.2,665.1,27
H,Kanakagiri,525.2,637.9,21
H,Hulihaider,557.6,568.6,2
H,Nauli,594.9,781.4,31
D,RAICHUR,654.7,636.6,-3
T,Deodurga,759,630,-17
H,Devadurga,759,619.7,-18
H,Arakeri,658.5,650.1,-1
H,Gabbur,682.5,667.2,-2
H,Jalihalli,690.3,580.6,-16
T,Lingsugur,631.3,643.1,2
H,Lingasuguru,631.3,672.2,6
H,Gurgunta,622.8,644,3
H,Mudgal,624.7,615.4,-1
T,Manvi,651.9,522.1,-20
H,Manvi,651.9,489.5,-25
H,Hire Katankal,644.3,492.1,-24
H,Kurdi,663.2,594.1,-10
T,Raichur,735.6,769.1,5
H,Raichur,735.6,846.1,15
H,Chandrabanda,733,758.6,3
H,Devarsugur,723.4,810.9,12
H,Gilasuguru,610.8,667,9
H,Kalmali,678.3,707.8,4
H,Yergara,762.8,823,8
T,Sindhanur,691.4,628.6,-9
H,Sindhanur,691.4,642.3,-7
H,Badarli,662.9,684,3
H,Gorebal,648.9,464.7,-28
H,Gunjihalli,634.6,594.9,-6
H,Hadganhal,654.9,636.5,-3
H,Huda,649.9,482.4,-26
H,Jalihal,637.7,708.9,11
H,Jawalgeri,655.9,702.1,7
H,Kunatgi,660.7,732.8,11
H,Salgundi,660.2,590.6,-11
H,Turvihal,627.4,685.6,9
H,Walkamdinni,644.9,621.6,-4
T,Maski,559.5,569.1,2
H,Maski,559.5,591.2,6
H,Halapur,587.1,469.7,-20
H,Pamankallur,602.2,499.3,-17
H,Balganur,598.7,642.1,7
H,Gunjihalli,609.9,634.4,4
H,Turvihal,603.8,668.4,11
H,Gudadur,574.3,611.5,6
H,Lingsugur,593,444.8,-25
T,Sirivara,588.7,606.5,3
H,Sirwar,588.7,605.4,3
H,Kallur,671.5,624.4,-7
H,Mallat,624.5,615.6,-1
H,Kavital,622.7,580.1,-7
D,KALABURAGI,770.5,830.5,8
T,Afzalpur,692,768.4,11
H,Afzalpur,692,766.3,11
H,Atanur,707.2,792.8,12
H,Karajgi,663.7,745,12
T,Aland,763.7,886.1,16
H,Aland,763.7,870.8,14
H,Khajuri,757.2,941.4,24
H,Madana Hipparga,735.5,870.4,18
